image_id,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,tag1,tag2,tag3
372625,50,72,128,61,60,37,30,24,30,0,13,23,532
820167,10,12,20,11,49,59,74,120,100,60,14,53,1092
847127,0,24,32,16,45,75,108,162,80,70,14,46,1154
547682,0,6,8,11,51,48,64,72,40,0,14,15,705
4024040,100,0,0,0,0,0,0,0,0,0,0,0,0
736072,10,24,16,17,55,34,8,18,10,0,14,39,941
120040,100,0,0,0,0,0,0,0,0,0,0,0,0
886685,0,6,20,8,23,43,56,156,100,80,2,20,1217
804850,30,60,72,33,76,15,10,6,10,10,2,39,1062
900891,0,6,4,7,41,42,52,66,10,0,2,35,1236
53874,0,12,44,17,42,53,78,270,170,170,7,14,175
282786,20,96,124,81,85,39,24,0,30,0,2,0,436
680087,10,18,20,14,51,51,100,150,140,70,14,46,864
123374,20,60,64,50,107,58,44,66,50,10,2,28,280
461974,0,0,8,11,38,57,54,54,30,20,7,14,615
541023,20,0,0,3,10,57,88,258,210,190,14,0,699
716727,10,0,8,11,66,44,30,30,0,20,14,0,901
760209,10,24,24,21,53,60,70,102,120,40,2,20,985
899637,60,42,108,45,29,11,6,0,0,0,18,23,1243
932835,30,6,24,30,51,40,22,6,10,20,14,15,1324
186125,40,72,64,49,75,66,72,144,90,20,20,23,347
658727,0,6,20,22,81,75,48,78,30,10,14,0,833
816116,0,12,24,19,48,35,52,90,100,20,14,35,1084
517222,0,18,52,46,80,33,12,24,0,20,10,18,685
571806,0,6,16,9,40,75,76,132,140,40,2,20,726
800794,10,12,8,12,38,45,52,30,40,30,14,46,1052
243672,40,30,76,47,71,30,52,48,20,20,14,0,393
735719,50,60,64,58,65,27,20,24,0,0,2,0,943
936634,0,0,8,7,34,55,76,90,40,0,14,35,1339
685679,10,18,8,17,44,33,80,150,70,40,2,0,874
475926,10,0,8,29,57,61,72,156,70,20,14,0,640
207998,0,0,28,14,52,58,62,90,70,30,14,15,361
890860,30,30,16,18,54,73,72,126,50,0,2,28,1226
421027,10,12,40,27,75,65,38,48,20,10,7,14,576
419390,10,6,4,18,71,61,50,48,10,30,14,15,565
382239,10,0,40,41,106,62,42,18,10,0,14,0,536
336955,20,54,48,40,61,53,48,114,30,10,14,25,498
812608,0,6,4,9,54,43,34,54,10,10,14,15,1076
425299,0,0,0,8,42,67,36,78,10,40,2,30,581
470313,0,12,24,26,55,73,70,126,90,90,2,21,637
872625,10,0,24,27,49,44,40,42,10,10,14,21,1201
920491,20,24,48,35,66,43,30,36,10,10,14,0,1298
770261,10,24,48,60,155,141,140,120,40,20,10,61,1005
103121,0,18,40,43,77,47,44,12,0,0,23,31,252
830704,10,6,16,12,53,57,46,48,50,10,14,27,1104
49107,0,6,24,9,14,26,76,126,180,190,7,14,162
415531,0,12,16,15,61,72,52,54,30,20,14,15,565
275370,10,18,60,42,90,68,66,126,60,20,14,22,429
923604,0,0,8,12,43,50,40,30,50,10,14,0,1307
806697,10,0,40,33,82,54,42,18,10,10,10,61,1065
562910,0,6,40,27,60,33,50,48,40,20,2,0,717
263598,0,60,76,50,95,59,46,48,20,40,14,32,413
229806,50,78,148,69,88,32,8,42,10,10,14,15,377
677670,0,6,0,7,19,51,54,150,150,30,14,0,859
640020,0,0,4,11,43,55,34,42,40,20,2,14,797
232336,10,24,32,30,75,75,76,66,80,50,14,25,381
941650,40,30,64,27,56,48,28,78,50,60,14,50,1362
580845,0,0,8,4,19,70,96,180,80,100,14,35,734
502211,10,6,20,18,46,52,70,60,30,0,14,20,664
458513,0,6,16,11,35,38,56,132,110,90,2,34,624
817424,0,0,4,9,31,47,70,132,90,30,14,15,1086
40779,0,6,8,13,41,33,66,114,80,10,14,15,144
702558,20,6,40,38,77,51,64,66,50,30,14,20,896
328266,0,0,16,8,54,65,64,84,30,70,14,25,486
836054,0,0,8,9,48,56,50,36,10,20,20,23,1118
331508,10,12,56,37,92,59,52,24,20,30,2,0,491
870925,30,12,52,54,74,46,32,30,10,0,14,28,1199
339113,0,12,12,21,61,60,52,54,30,30,10,20,500
850157,20,24,64,51,74,39,16,24,20,10,2,0,1159
880447,20,30,12,4,41,54,56,96,50,30,14,19,1210
16329,0,30,44,23,37,55,66,114,60,30,20,23,82
827658,10,6,36,22,61,64,52,84,50,30,10,61,1107
432638,0,18,16,27,61,53,52,54,30,30,10,20,592
724139,0,0,8,2,19,40,98,204,90,50,14,28,915
602072,10,24,36,35,74,42,48,66,30,10,14,23,759
387087,0,12,16,14,60,87,76,180,90,20,12,14,536
516290,0,6,44,44,76,51,42,66,20,0,10,47,683
239228,0,12,36,29,67,51,30,60,30,30,14,33,385
577546,0,0,12,24,56,50,38,30,10,20,2,48,731
419383,30,12,28,24,62,60,84,90,50,20,14,15,576
934264,0,12,8,4,24,43,58,108,20,30,14,21,1342
882890,0,0,16,13,32,54,100,114,130,60,18,23,1212
847491,0,6,12,15,51,98,106,126,50,10,14,48,1154
784695,10,30,88,44,59,39,30,30,20,20,2,15,1027
88923,140,126,136,79,84,39,26,36,0,20,1,14,233
217110,50,36,80,46,92,76,60,126,50,20,1,10,368
765840,0,6,20,7,34,57,88,180,190,110,14,15,996
706337,0,6,16,31,67,15,12,6,10,0,14,27,898
29760,50,72,100,47,66,44,50,72,30,10,2,14,119
263514,20,12,0,14,57,78,140,306,110,130,15,23,401
117143,10,0,36,38,97,70,38,48,20,10,23,35,264
365518,10,36,64,32,67,89,98,180,80,50,14,28,525
10516,0,6,12,4,9,21,42,114,80,30,2,23,55
751670,0,0,20,9,25,56,76,108,80,50,14,21,960
207836,20,72,76,70,85,49,42,18,30,0,10,20,362
85130,30,126,132,58,63,54,64,78,50,30,2,25,229
793808,0,6,16,15,38,29,32,36,40,40,14,27,1042
841983,70,84,116,70,97,49,16,36,0,0,10,0,1145
114431,10,24,84,89,58,40,32,48,10,10,6,10,264
50216,10,84,96,48,77,38,30,54,10,20,18,23,171
775318,0,0,20,11,40,70,84,84,50,20,2,51,1009
19897,0,6,28,44,54,62,62,90,40,70,11,23,91
134337,20,36,56,26,64,96,122,210,130,100,7,14,298
751968,20,24,52,37,57,30,18,24,30,20,10,62,960
759751,0,0,12,9,56,61,60,108,80,20,14,15,984
